tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,genre1,genre2,genre3,url,averageRating,numVotes
tt0082517,movie,History of the World: Part I,History of the World: Part I,0,1981,,92,"Comedy,History,Musical",Comedy,History,Musical,https://www.imdb.com/title/tt0082517,6.9,45706
tt0082533,movie,The Howling,The Howling,0,1981,,91,Horror,Horror,,,https://www.imdb.com/title/tt0082533,6.6,31070
tt0082694,movie,Mad Max 2: The Road Warrior,Mad Max 2,0,1981,,96,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,https://www.imdb.com/title/tt0082694,7.6,165850
tt0082846,movie,On Golden Pond,On Golden Pond,0,1981,,109,Drama,Drama,,,https://www.imdb.com/title/tt0082846,7.6,27499
tt0082869,movie,Outland,Outland,0,1981,,109,"Action,Crime,Sci-Fi",Action,Crime,Sci-Fi,https://www.imdb.com/title/tt0082869,6.6,27236
tt0082933,movie,Possession,Possession,0,1981,,124,"Drama,Horror",Drama,Horror,,https://www.imdb.com/title/tt0082933,7.4,25094
tt0082971,movie,Indiana Jones and the Raiders of the Lost Ark,Raiders of the Lost Ark,0,1981,,115,"Action,Adventure",Action,Adventure,,https://www.imdb.com/title/tt0082971,8.4,880055
tt0083131,movie,Stripes,Stripes,0,1981,,106,"Comedy,War",Comedy,War,,https://www.imdb.com/title/tt0083131,6.9,65166
tt0083190,movie,Thief,Thief,0,1981,,123,"Action,Crime,Drama",Action,Crime,Drama,https://www.imdb.com/title/tt0083190,7.4,25220
tt0083284,movie,Victory,Victory,0,1981,,116,"Drama,Sport,War",Drama,Sport,War,https://www.imdb.com/title/tt0083284,6.7,27588
tt0083399,tvSeries,Cheers,Cheers,0,1982,1993,22,"Comedy,Drama",Comedy,Drama,,https://www.imdb.com/title/tt0083399,7.8,47729
tt0083437,tvSeries,Knight Rider,Knight Rider,0,1982,1986,46,"Action,Crime,Drama",Action,Crime,Drama,https://www.imdb.com/title/tt0083437,6.9,29969
tt0083511,movie,48 Hrs.,48 Hrs.,0,1982,,96,"Action,Comedy,Crime",Action,Comedy,Crime,https://www.imdb.com/title/tt0083511,6.9,68881
tt0083530,movie,Airplane II: The Sequel,Airplane II: The Sequel,0,1982,,85,"Comedy,Sci-Fi",Comedy,Sci-Fi,,https://www.imdb.com/title/tt0083530,6.2,48921
tt0083564,movie,Annie,Annie,0,1982,,126,"Comedy,Drama,Family",Comedy,Drama,Family,https://www.imdb.com/title/tt0083564,6.6,39801
tt0083658,movie,Blade Runner,Blade Runner,0,1982,,117,"Action,Sci-Fi,Thriller",Action,Sci-Fi,Thriller,https://www.imdb.com/title/tt0083658,8.1,690380
tt0083767,movie,Creepshow,Creepshow,0,1982,,120,"Comedy,Fantasy,Horror",Comedy,Fantasy,Horror,https://www.imdb.com/title/tt0083767,6.9,42264
tt0083791,movie,The Dark Crystal,The Dark Crystal,0,1982,,93,"Adventure,Family,Fantasy",Adventure,Family,Fantasy,https://www.imdb.com/title/tt0083791,7.2,61922
tt0083866,movie,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial,0,1982,,115,"Family,Sci-Fi",Family,Sci-Fi,,https://www.imdb.com/title/tt0083866,7.8,370513
tt0083907,movie,The Evil Dead,The Evil Dead,0,1981,,85,Horror,Horror,,,https://www.imdb.com/title/tt0083907,7.5,186649
tt0083922,movie,Fanny and Alexander,Fanny och Alexander,0,1982,,188,Drama,Drama,,,https://www.imdb.com/title/tt0083922,8.1,57404
tt0083929,movie,Fast Times at Ridgemont High,Fast Times at Ridgemont High,0,1982,,90,"Comedy,Drama",Comedy,Drama,,https://www.imdb.com/title/tt0083929,7.2,93934
tt0083943,movie,Firefox,Firefox,0,1982,,136,"Action,Adventure,Thriller",Action,Adventure,Thriller,https://www.imdb.com/title/tt0083943,6.0,25051
tt0083944,movie,First Blood,First Blood,0,1982,,93,"Action,Adventure",Action,Adventure,,https://www.imdb.com/title/tt0083944,7.7,225229
tt0083946,movie,Fitzcarraldo,Fitzcarraldo,0,1982,,158,"Adventure,Drama",Adventure,Drama,,https://www.imdb.com/title/tt0083946,8.1,31401
tt0083972,movie,Friday the 13th Part III,Friday the 13th Part III,0,1982,,95,"Horror,Thriller",Horror,Thriller,,https://www.imdb.com/title/tt0083972,5.7,47513
tt0083987,movie,Gandhi,Gandhi,0,1982,,191,"Biography,Drama,History",Biography,Drama,History,https://www.imdb.com/title/tt0083987,8.0,217132
tt0084021,movie,Grease 2,Grease 2,0,1982,,115,"Comedy,Drama,Musical",Comedy,Drama,Musical,https://www.imdb.com/title/tt0084021,4.4,32708
tt0084434,movie,An Officer and a Gentleman,An Officer and a Gentleman,0,1982,,124,"Drama,Romance",Drama,Romance,,https://www.imdb.com/title/tt0084434,7.0,49394
tt0084503,movie,Pink Floyd: The Wall,Pink Floyd: The Wall,0,1982,,95,"Drama,Fantasy,Music",Drama,Fantasy,Music,https://www.imdb.com/title/tt0084503,8.1,75809
tt0084516,movie,Poltergeist,Poltergeist,0,1982,,114,"Horror,Thriller",Horror,Thriller,,https://www.imdb.com/title/tt0084516,7.3,143977
tt0084522,movie,Porky's,Porky's,0,1981,,94,Comedy,Comedy,,,https://www.imdb.com/title/tt0084522,6.2,38299
tt0084602,movie,Rocky III,Rocky III,0,1982,,99,"Drama,Sport",Drama,Sport,,https://www.imdb.com/title/tt0084602,6.8,173545
tt0084649,movie,The Secret of NIMH,The Secret of NIMH,0,1982,,82,"Adventure,Animation,Drama",Adventure,Animation,Drama,https://www.imdb.com/title/tt0084649,7.6,36104
tt0084707,movie,Sophie's Choice,Sophie's Choice,0,1982,,150,"Drama,Romance",Drama,Romance,,https://www.imdb.com/title/tt0084707,7.6,41974
tt0084726,movie,Star Trek II: The Wrath of Khan,Star Trek II: The Wrath of Khan,0,1982,,113,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,https://www.imdb.com/title/tt0084726,7.7,112327
tt0084787,movie,The Thing,The Thing,0,1982,,109,"Horror,Mystery,Sci-Fi",Horror,Mystery,Sci-Fi,https://www.imdb.com/title/tt0084787,8.1,369275
tt0084805,movie,Tootsie,Tootsie,0,1982,,116,"Comedy,Drama,Romance",Comedy,Drama,Romance,https://www.imdb.com/title/tt0084805,7.4,97475
tt0084827,movie,TRON,TRON,0,1982,,96,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,https://www.imdb.com/title/tt0084827,6.8,112904
tt0084855,movie,The Verdict,The Verdict,0,1982,,129,Drama,Drama,,,https://www.imdb.com/title/tt0084855,7.7,35874
